name,icao_code
Air Liberté Tunisie,M-TN-4824
Air Limousin,M-FR-1925
Air Lincoln,ALN
Air Links,
Air Lithuania,M-LT-3153
Air Littoral,M-FR-1926
Air Lituanica,M-LT-3154
Air Liverpool,M-GB-2060
Air Livonia,LIV
AIR LLOYD Flight Services GmbH,M-DE-1369
Air Logistics,ALG
Air Loyauté,
Air Luso,M-CA-808
Air Luxor,M-PT-4081
Air Luxor GB,LXG
Air Luxor STP,ALU
Air Mach,KAM
Air Madeira,M-PT-4082
Air Madeleine,MLN
Air Majoro,MJP
Air Maldives,AMI
Air Mali,M-ML-3267
Air Mali,M-ML-3268
Air Malta,M-MT-3362
Air Mana,EFC
Air Manas,M-KG-2969
Air Manchester,M-GB-2059
Air Mandalay,M-MM-3277
Air Manila,M-PH-3961
Air Manitoba,M-CA-809
Air Margarita,M-VE-5312
Air Marrakech Service,MKH
Air Martinique,M-MQ-3296
Air Mauritanie,M-MR-3298
Air Max Africa,AZX
Air Medical,MCD
Air Méditerranée,M-FR-1927
Air Mekong,M-VN-5364
Air Melanesiæ,M-VU-5374
Air Memphis,MHU
Air Memphis,M-UG-5072
Air Mercia,MCB
Air Mercury,M-US-5229
Air Meridan,MEF
Air Metack,MTK
Air Meuse,M-BE-424
Air Micronesia,M-GU-2224
Air Midi Bigorré,M-FR-1928
Air Midwest,M-US-5231
Air Midwest,VTY
Air Mikisew,M-CA-810
Air Minas,M-BR-570
Air Minas Linhas A,AMG
Air Mobility Command,RCH
Air Monarch Cargo,MOC
Air Montegomery,MTY
Air Montenegro,AMN
Air Montréal,M-CA-811
Air Montreal (Air Holdings Inc.),AMO
Air Moorea,M-PF-3930
Air Muskoka,AMS
Air N.S.W.,M-AU-279
Air Napier,NPR
Air National,M-NZ-3809
Air National,M-US-5232
Air Nauru,M-NR-3806
Air Navigation And Trading Co. Ltd.,ANB
Air Nelson,RLK
Air Nepal International,NPL
Air Net Private Charter,WDR
Air Nevada,ANV
Air New Orleans,M-US-5234
Air New Zealand,M-NZ-3811
Air Newark,NER
Air Next,NXA
Air Niagara Express,DBD
Air Niamey,AWN
Air Niamey,M-NE-3583
Air Niger,M-NE-3584
Air Nigeria,NGP
Air Nigeria,M-NG-3598
Air Nippon,M-JP-2862
Air Nippon Network,M-JP-2863
