Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
Indonesia AirAsia,QZ,AWQ,"Tangerang , Banten, Indonesia",Denpasar ; Medan ; JakartaSoekarno-Hatta ; Surabaya,31,WAGON AIR,,www .airasia .com,Cpt. Achmad Sadikin Abdurachman ( CEO ),"1,715",,,23,,United Arab Emirates: Abu Dhabi (AUH)  Abu Dhabi International Airport; Australia: Adelaide (ADL)  Adelaide Airport; India: Ahmedabad (AMD)  Sardar Vallabhbhai Patel International Airport; Kazakhstan: Almaty (ALA)  Almaty International Airport; Malaysia: Alor Setar (AOR)  Sultan Abdul Halim Airport; India: Amritsar (ATQ)  Sri Guru Ram Dass Jee International Airport; New Zealand: Auckland (AKL)  Auckland Airport; Philippines: Bacolod (BCD)  BacolodSilay Airport; Bahrain: Bahrain (BAH)  Bahrain International Airport; Indonesia: Balikpapan (BPN)  Sultan Aji Muhammad Sulaiman International Airport; Indonesia: Banda Aceh (BTJ)  Sultan Iskandar Muda International Airport; Brunei: Bandar Seri Begawan (BWN)  Brunei International Airport; Indonesia: Bandung (BDO)  Husein Sastranegara Airport; Thailand: Bangkok (DMK)  Don Mueang International Airport; Thailand: Bangkok (BKK)  Suvarnabhumi Airport; Indonesia: Banjarmasin (BDJ)  Syamsudin Noor International Airport; Indonesia: Batam (BTH)  Hang Nadim International Airport; China: Beijing (PEK)  Beijing Capital International Airport; China: Beijing (PKX)  Beijing Daxing International Airport; India: Bengaluru (BLR)  Kempegowda International Airport; Indonesia: Berau (BEJ)  Kalimarau Airport; India: Bhubaneswar (BBI)  Biju Patnaik International Airport; Malaysia: Bintulu (BTU)  Bintulu Airport; Australia: Brisbane (BNE)  Brisbane Airport; Thailand: Buriram (BFV)  Buriram Airport; South Korea: Busan (PUS)  Gimhae International Airport; Philippines: Cagayan de Oro (CGY)  Laguindingan International Airport; Australia: Cairns (CNS)  Cairns International Airport; Vietnam: Can Tho (VCA)  Can Tho Airport; Philippines: Caticlan (MPH)  Godofredo P. Ramos Airport; Philippines: Cebu (CEB)  MactanCebu International Airport; China: Changsha (CSX)  Changsha Huanghua International Airport; China: Chengdu (CTU)  Chengdu Shuangliu International Airport; China: Chengdu (TFU)  Chengdu Tianfu International Airport; India: Chennai (MAA)  Chennai International Airport; Thailand: Chiang Mai (CNX)  Chiang Mai International Airport; Thailand: Chiang Rai (CEI)  Chiang Rai International Airport; China: Chongqing (CKG)  Chongqing Jiangbei International Airport; Thailand: Chumphon (CJM)  Chumphon Airport; New Zealand: Christchurch (CHC)  Christchurch Airport; Philippines: Clark (CRK)  Clark International Airport; Sri Lanka: Colombo (CMB)  Bandaranaike International Airport; Vietnam: Da Lat (DLI)  Lien Khuong Airport; Vietnam: Da Nang (DAD)  Da Nang International Airport; Australia: Darwin (DRW)  Darwin International Airport; Philippines: Davao (DVO)  Francisco Bangoy International Airport; India: Delhi (DEL)  Indira Gandhi International Airport; Indonesia: Denpasar (DPS)  Ngurah Rai International Airport; Bangladesh: Dhaka (DAC)  Shahjalal International Airport; Philippines: Dumaguete (DGT)  Sibulan Airport; Japan: Fukuoka (FUK)  Fukuoka Airport; India: Gaya (GAY)  Gaya Airport; Philippines: General Santos (GES)  General Santos International Airport; India: Goa (GOI)  Goa International Airport; Australia: Gold Coast (OOL)  Gold Coast Airport; India: Guwahati (GAU)  Lokpriya Gopinath Bordoloi International Airport; China: Guangzhou (CAN)  Guangzhou Baiyun International Airport; China: Guilin (KWL)  Guilin Liangjiang International Airport; China: Guiyang (KWE)  Guiyang Longdongbao International Airport; China: Haikou (HAK)  Haikou Meilan International Airport; China: Hangzhou (HGH)  Hangzhou Xiaoshan International Airport; Vietnam: Hanoi (HAN)  Noi Bai International Airport; Thailand: Hat Yai (HDY)  Hat Yai International Airport; Vietnam: Ho Chi Minh City (SGN)  Tan Son Nhat International Airport; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport; United States: Honolulu (HNL)  Honolulu International Airport; Thailand: Hua Hin (HHQ)  Hua Hin Airport; India: Hyderabad (HYD)  Rajiv Gandhi International Airport; Philippines: Iloilo (ILO)  Iloilo International Airport; Malaysia: Ipoh (IPH)  Sultan Azlan Shah Airport; Turkey: Istanbul (SAW)  Sabiha Gken International Airport; India: Jaipur (JAI)  Jaipur Airport; Indonesia: Jakarta (CGK)  SoekarnoHatta International Airport; Saudi Arabia: Jeddah (JED)  King Abdulaziz International Airport; South Korea: Jeju (CJU)  Jeju International Airport; Malaysia: Johor Bahru (JHB)  Senai International Airport; Philippines: Kalibo (KLO)  Kalibo International Airport; Taiwan: Kaohsiung (KHH)  Kaohsiung International Airport; Pakistan: Karachi (KHI)  Jinnah International Airport; Nepal: Kathmandu (KTM)  Tribhuvan International Airport; Thailand: Khon Kaen (KKC)  Khon Kaen Airport; India: Kochi (COK)  Cochin International Airport; India: Kolkata (CCU)  Netaji Subhash Chandra Bose International Airport; Malaysia: Kota Bharu (KBR)  Sultan Ismail Petra Airport; Malaysia: Kota Kinabalu (BKI)  Kota Kinabalu International Airport; India: Kozhikode (CCJ)  Kozhikode International Airport; Thailand: Krabi (KBV)  Krabi International Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Malaysia: Kuala Lumpur (SZB)  Sultan Abdul Aziz Shah Airport; Malaysia: Kuala Terengganu (TGG)  Sultan Mahmud Airport; Malaysia: Kuantan (KUA)  Sultan Haji Ahmad Shah Airport; Malaysia: Kuching (KCH)  Kuching International Airport; China: Kunming (KMG)  Kunming Changshui International Airport; Malaysia: Labuan (LBU)  Labuan Airport; Indonesia: Labuan Bajo (LBJ)  Komodo International Airport; Malaysia: Langkawi (LGK)  Langkawi International Airport; Thailand: Loei (LOE)  Loei Airport; China: Lanzhou (LHW)  Lanzhou Zhongchuan International Airport; Indonesia: Lombok (LOP)  Lombok International Airport; United Kingdom: London (STN)  London Stansted Airport; United Kingdom: London (LGW)  London Gatwick Airport; Laos: Luang Prabang (LPQ)  Luang Prabang International Airport; India: Lucknow (LKO)  Chaudhary Charan Singh Airport; Macau: Macau (MFM)  Macau International Airport; Indonesia: Majalengka (KJT)  Kertajati International Airport; Indonesia: Makassar (UPG)  Sultan Hasanuddin International Airport; Maldives: Mal (MLE)  Velana International Airport; Indonesia: Manado (MDC)  Sam Ratulangi International Airport; Myanmar: Mandalay (MDL)  Mandalay International Airport; Philippines: Manila (MNL)  Ninoy Aquino International Airport; Mauritius: Mauritius (MRU)  Sir Seewoosagur Ramgoolam International Airport; Indonesia: Medan (KNO)  Kualanamu International Airport; Saudi Arabia: Medina (MED)  Prince Mohammad bin Abdulaziz International Airport; China: Meixian (MXZ)  Meixian Airport; Malaysia: Melaka (MKZ)  Malacca International Airport; Australia: Melbourne / Geelong (AVV)  Avalon Airport; Australia: Melbourne (MEL)  Melbourne Airport; Malaysia: Miri (MYY)  Miri Airport; India: Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Oman: Muscat (MCT)  Muscat International Airport; Japan: Nagoya (NGO)  Chubu Centrair International Airport; Kenya: Nairobi (NBO)  Jomo Kenyatta International Airport; Thailand: Nakhon Si Thammarat (NST)  Nakhon Si Thammarat Airport; Thailand: Nakhon Phanom (KOP)  Nakhon Phanom Airport; Thailand: Nan (NNT)  Nan Airport; China: Nanchang (KHN)  Nanchang Changbei International Airport; China: Nanjing (KHN)  Nanjing Lukou International Airport; China: Nanning (NNG)  Nanning Wuxu International Airport; Thailand: Narathiwat (NAW)  Narathiwat Airport; Myanmar: Naypyidaw (NYT)  Naypyidaw International Airport; Vietnam: Nha Trang (CXR)  Cam Ranh International Airport; China: Ningbo (NGB)  Ningbo Lishe International Airport; Japan: Okinawa (OKA)  Naha Airport; Japan: Osaka (KIX)  Kansai International Airport; Indonesia: Padang (PDG)  Minangkabau International Airport; Indonesia: Palembang (PLM)  Sultan Mahmud Badaruddin II International Airport; France: Paris (ORY)  Orly Airport; Thailand: Pattaya (UTP)  U-Tapao International Airport; Indonesia: Pekanbaru (PKU)  Sultan Syarif Kasim II International Airport; Malaysia: Penang (PEN)  Penang International Airport; Australia: Perth (PER)  Perth Airport; Cambodia: Phnom Penh (PNH)  Phnom Penh International Airport; Cambodia: Phnom Penh (KTI)  Techo International Airport; Thailand: Phuket (HKT)  Phuket International Airport; Thailand: Phitsanulok (PHS)  Phitsanulok Airport; Vietnam: Phu Quoc (PQC)  Phu Quoc International Airport; Indonesia: Pontianak (PNK)  Supadio International Airport; India: Port Blair (IXZ)  Veer Savarkar International Airport; Philippines: Puerto Princesa (PPS)  Puerto Princesa International Airport; China: Quanzhou (JJN)  Quanzhou Jinjiang Airport; Thailand: Ranong (UNN)  Ranong Airport; Saudi Arabia: Riyadh (RUH)  King Khalid International Airport; Thailand: Roi Et (ROI)  Roi Et Airport; Philippines: Roxas City (RXS)  Roxas Airport; Thailand: Sakon Nakhon (SNO)  Sakon Nakhon Airport; Malaysia: Sandakan (SDK)  Sandakan Airport; Japan: Sapporo (CTS)  New Chitose Airport; China: Sanya (SYX)  Sanya Phoenix International Airport; Indonesia: Semarang (SRG)  Jenderal Ahmad Yani International Airport; Japan: Sendai (SDJ)  Sendai Airport; South Korea: Seoul (ICN)  Incheon International Airport; China: Shanghai (PVG)  Shanghai Pudong International Airport; China: Shantou (SWA)  Jieyang Chaoshan International Airport; China: Shenzhen (SZX)  Shenzhen Bao'an International Airport; China: Shenyang (SHE)  Shenyang Taoxian International Airport; Indonesia: Siborong-Borong (DTB)  Silangit International Airport; Malaysia: Sibu (SBW)  Sibu Airport; Cambodia: Siem Reap (REP)  Siem Reap International Airport; Cambodia: Siem Reap (SAI)  Siem ReapAngkor International Airport; Cambodia: Sihanoukville (KOS)  Sihanoukville International Airport; Singapore: Singapore (SIN)  Singapore Changi Airport; Indonesia: Solo (SOC)  Adisoemarmo International Airport; Indonesia: Sorong (SOQ)  Domine Eduard Osok Airport; Indonesia: Surabaya (SUB)  Juanda International Airport; Thailand: Surat Thani (URT)  Surat Thani Airport; Australia: Sydney (SYD)  Sydney Airport; Philippines: Tacloban (TAC)  Daniel Z. Romualdez Airport; Philippines: Tagbilaran (TAG)  Tagbilaran Airport; Philippines: Tagbilaran (TAG)  BoholPanglao International Airport; Taiwan: Taipei (TPE)  Taoyuan International Airport; Indonesia: Tanjung Pandan (TJQ)  H.A.S. Hanandjoeddin International Airport; Indonesia: Tarakan (TRK)  Juwata Airport; Uzbekistan: Tashkent (TAS)  Islam Karimov Tashkent International Airport; Malaysia: Tawau (TWU)  Tawau Airport; Georgia: Tbilisi (TBS)  Tbilisi International Airport; Iran: Tehran (IKA)  Tehran Imam Khomeini International Airport; India: Thiruvananthapuram (TRV)  Trivandrum International Airport; China: Tianjin (TSN)  Tianjin Binhai International Airport; India: Tiruchirapalli (TRZ)  Tiruchirapalli Airport; Japan: Tokyo (HND)  Haneda Airport; Japan: Tokyo (NRT)  Narita International Airport; Thailand: Trang (TST)  Trang Airport; Thailand: Ubon Ratchathani (UBP)  Ubon Ratchathani Airport; Thailand: Udon Thani (UTH)  Udon Thani Airport; India: Varanasi (VNS)  Lal Bahadur Shastri Airport; Laos: Vientiane (VTE)  Wattay International Airport; India: Visakhapatnam (VTZ)  Visakhapatnam Airport; China: Xiamen (XMN)  Xiamen Gaoqi International Airport; China: Wenzhou (WNZ)  Wenzhou Longwan International Airport; China: Wuhan (WUH)  Wuhan Tianhe International Airport; China: Xi'an (XIY)  Xi'an Xianyang International Airport; Myanmar: Yangon (RGN)  Yangon International Airport; Indonesia: Yogyakarta (YIA)  Yogyakarta International Airport; Philippines: Zamboanga (ZAM)  Zamboanga International Airport; Croatia: Zagreb (ZAG)  Zagreb International Airport,,BIG Loyalty Programme,,,1999 ( 1999 ) (as Awair ); 22 June 2000 ( 2000-06-22 ) (as Awair ) ; 1 December 2005 ( 2005-12-01 ) (as Indonesia AirAsia ),Denpasar ; Medan ; JakartaSoekarno-Hatta ; Surabaya,,,,,https://en.wikipedia.org/wiki/Indonesia_AirAsia
Int'Air les,I7,IIA,,Ouani Airport,8,INTER ILES,,www .inter-iles-air .com,Seffoudine Inzoudine ( Chairman ) ; Ahmed Inzoudine ( CEO ),,,,0,,Comoros: Anjouan  Ouani Airport; Mohli: Mohli Bandar Es Eslam Airport  Terminated; Moroni: Prince Said Ibrahim International Airport  Terminated; Mahajanga: Amborovy Airport  Terminated,Vanilla Alliance (20152024),,,,2007 ( 2007 ) (as Inter les Air ),Ouani Airport,,,,,https://en.wikipedia.org/wiki/Int%27Air_%C3%8Eles
InterCaribbean Airways,JY,IWY,"Providenciales , Turks and Caicos Islands",Providenciales International Airport ; Terrance B. Lettsome International Airport ; Grantley Adams International Airport; Las Americas International Airport,26,ISLANDWAYS,,www .intercaribbean .com,"Lyndon Gardiner, chairman ; Trevor Sadler, CEO",,,,22,,Antigua and Barbuda: Osbourn (ANU)  V. C. Bird International Airport; The Bahamas: Nassau (NAS)  Lynden Pindling International Airport; Barbados: Bridgetown (BGI)  Grantley Adams International Airport; British Virgin Islands: Tortola (EIS)  Terrance B. Lettsome International Airport; Cuba: Havana (HAV)  Jos Mart International Airport; Dominica: Marigot (DOM)  Douglas-Charles Airport; Dominican Republic: Puerto Plata (POP)  Gregorio Lupern Airport; Punta Cana: Punta Cana International Airport  Seasonal; Santo Domingo: Las Amricas International Airport  Focus city; Grenada: St. George's (GND)  Maurice Bishop International Airport; Guyana: Georgetown (GEO)  Cheddi Jagan International Airport GeorgetownOgle; Haiti: Cap-Hatien (CAP)  Cap-Hatien International Airport; Jamaica: Kingston (KIN)  Norman Manley International Airport; Montego Bay: Sangster International Airport  Seasonal; Puerto Rico: San Juan (SJU)  Luis Muoz Marn International Airport; Saint Kitts and Nevis: Basseterre (SKB)  Robert L. Bradshaw International Airport; Saint Lucia: Castries (SLU)  George F. L. Charles Airport; Saint Vincent and the Grenadines: Kingstown (SVD)  Argyle International Airport; Sint Maarten: Philipsburg (SXM)  Princess Juliana International Airport; Turks and Caicos: Grand Turk (GDT)  JAGS McCartney International Airport; Providenciales: Providenciales Airport  Hub,,,,,1991,Providenciales International Airport ; Terrance B. Lettsome International Airport ; Grantley Adams International Airport; Las Americas International Airport,,,,,https://en.wikipedia.org/wiki/InterCaribbean_Airways
International AirLink,I4,IOU,"Montego Bay , Jamaica",Sangster International Airport,3,,,flyairlink .net,,,,,0,,,,,,,1996,Sangster International Airport,,,,,https://en.wikipedia.org/wiki/AirLink_Express
IrAero,IO,IAE,"Irkutsk , Russia",Irkutsk; Magadan ; Moscow-Domodedovo ; Yakutsk,62,IRAERO,,iraero.ru,,,,,34,,Azerbaijan: Baku (GYD)  Heydar Aliyev International Airport; China: Beijing (PKX)  Beijing Daxing International Airport; Dalian: Dalian Zhoushuizi International Airport  Seasonal charter; Mongolia: Ulaanbaatar (UBN)  Chinggis Khaan International Airport; Philippines: Kalibo (KLO)  Kalibo International Airport; Russia: Irkutsk (IKT)  International Airport Irkutsk; Sochi: Adler-Sochi International Airport  Seasonal; Turkey: Alanya / Gazipaa (GZP)  GazipaaAlanya Airport; Vietnam: Hanoi (HAN)  Noi Bai International Airport,,,,,1999 ( 1999 ),Irkutsk; Magadan ; Moscow-Domodedovo ; Yakutsk,,,,,https://en.wikipedia.org/wiki/IrAero
Iran Air,IR,IRA,"Mehrabad International Airport , Tehran, Iran",TehranImam Khomeini ; TehranMehrabad; Bandar Abbas ; Isfahan ; Mashhad ; Shiraz,0,IRANAIR,,IranAir.com,"Hossein Khanlari, chairman & CEO","10,696 (2013)",$329.74 million (2013),-$71.67 million (2013),27,,Afghanistan: Kabul (KBL)  Kabul International Airport; Armenia: Yerevan (EVN)  Zvartnots International Airport; Azerbaijan: Baku (GYD)  Heydar Aliyev International Airport; Hamburg: Hamburg Airport  Suspended; Frankfurt: Frankfurt Airport  Suspended; Munich: Munich Airport  Suspended; India: Ahmedabad (AMD)  Ahmedabad Airport; Delhi: Indira Gandhi International Airport  Terminated; Iran: Abadan (ABD)  Abadan Ayatollah Jami International Airport; Isfahan: Isfahan Shahid Beheshti International Airport  Focus city; Mashhad: Mashhad Shahid Hasheminejad International Airport  Focus city; Shiraz: Shiraz Shahid Dastgheib International Airport  Focus city; Tehran: Mehrabad International Airport  Hub; Iraq: Baghdad (BGW)  Baghdad International Airport; Najaf: Al Najaf International Airport  Seasonal; Rimini: Rimini Fellini Airport  Suspended; Rome: Rome Fiumicino Airport  Suspended; Kuwait: Kuwait City (KWI)  Kuwait International Airport; Pakistan: Karachi (KHI)  Jinnah International Airport; Qatar: Doha (DOH)  Hamad International Airport; Saint Petersburg: Pulkovo Airport  Terminated; Saudi Arabia: Dammam (DMM)  King Fahd International Airport; Jeddah: King Abdulaziz International Airport  Seasonal; Medina: Prince Mohammad bin Abdulaziz International Airport  Seasonal; Madrid: MadridBarajas Airport  Terminated; Malm: Malm Airport  Terminated; Stockholm: Stockholm Arlanda Airport  Terminated; Istanbul: Atatrk Airport  Airport Closed; zmir: zmir Adnan Menderes Airport  Seasonal; United Arab Emirates: Dubai (DXB)  Dubai International Airport; Manchester: Manchester Airport  Terminated,,SkyGift,,,May 1944 ( May 1944 ) ; as Iranian Airways Company; February 1961 ( 1961-02 ) ; (as Iran Air),TehranImam Khomeini ; TehranMehrabad; Bandar Abbas ; Isfahan ; Mashhad ; Shiraz,,,,,https://en.wikipedia.org/wiki/Iran_Air
Iran Airtour,B9,IRB,"Tehran , Iran",Mashhad Shahid Hasheminejad International Airport ; Shiraz Shahid Dastgheib International Airport ; Tabriz Shahid Madani International Airport ; Tehran Imam Khomeini International Airport ; Tehran Mehrabad Airport,12,IRAN AIR TOUR,,www .iranairtour .ir,Majid Shekari (owner),1300,,,0,,Armenia: Yerevan (EVN)  Zvartnots International Airport; Georgia: Batumi (BUS)  Batumi International Airport; Kazakhstan: Aqtau (SCO)  Aqtau International Airport; Tunisia: Munastir (MIR)  Monastir Habib Bourguiba International Airport; Iran: Abadan (ABD)  Abadan Ayatollah Jami International Airport; Mashhad: Mashhad Shahid Hasheminejad International Airport  Hub; Tehran: Imam Khomeini International Airport  Hub; Iraq: Baghdad (BGW)  Baghdad International Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Russia: Sochi (AER)  Adler-Sochi International Airport; Turkey: Denizli (DNZ)  Denizli ardak Airport; United Arab Emirates: Dubai (DXB)  Dubai International Airport,,,,,1973 ( 1973 ),Mashhad Shahid Hasheminejad International Airport ; Shiraz Shahid Dastgheib International Airport ; Tabriz Shahid Madani International Airport ; Tehran Imam Khomeini International Airport ; Tehran Mehrabad Airport,,,,,https://en.wikipedia.org/wiki/Iran_Airtour
Iran Aseman Airlines,EP,IRC,"Mehrabad International Airport , Tehran , Iran",Isfahan Shahid Beheshti International Airport ; Mashhad Shahid Hasheminejad International Airport ; Shiraz Shahid Dastgheib International Airport ; Tehran Imam Khomeini International Airport ; Tehran Mehrabad Airport,16,ASEMAN,,www .iaa .ir,Capt Hassan Ghasemi (CEO),About 4000,,,14,,,,,,,1970 ( 1970 ) ; as Air Taxi; 1980 ( 1980 ) ; as Iran Aseman Airlines,Isfahan Shahid Beheshti International Airport ; Mashhad Shahid Hasheminejad International Airport ; Shiraz Shahid Dastgheib International Airport ; Tehran Imam Khomeini International Airport ; Tehran Mehrabad Airport,,,,,https://en.wikipedia.org/wiki/Iran_Aseman_Airlines
Iraqi Airways,IA,IAW,"Baghdad , Iraq",Basra International Airport ; Erbil International Airport; Baghdad International Airport; Al Najaf International Airport ; Sulaymaniyah International Airport,15,IRAQI,,iraqiairways .com .iq,Manaf Abdul-Moneim,,,,40,,Armenia: Yerevan (EVN)  Zvartnots International Airport; Azerbaijan: Baku (GYD)  Heydar Aliyev International Airport; Bahrain: Manama (BAH)  Bahrain International Airport; China: Beijing (PEK)  Beijing Capital International Airport; Egypt: Cairo (CAI)  Cairo International Airport; Hurghada: Hurghada International Airport  Charter; Sharm El Sheikh: Sharm El Sheikh International Airport  Charter; Germany: Berlin (BER)  Berlin Brandenburg Airport; Munich: Munich Airport  Terminated; India: Ahmedabad (AMD)  Ahmedabad Airport; Kerman: Kerman Airport  Terminated; Kish Island: Kish International Airport  Terminated; Iraq: Baghdad (BGW)  Baghdad International Airport; Basra: Basra International Airport  Base; Erbil: Erbil International Airport  Base; Jordan: Amman (AMM)  Queen Alia International Airport; Kuwait: Kuwait City (KWI)  Kuwait International Airport; Lebanon: Beirut (BEY)  BeirutRafic Hariri International Airport; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Oman: Muscat (MCT)  Muscat International Airport; Pakistan: Islamabad (ISB)  Islamabad International Airport; Russia: Moscow (VKO)  Vnukovo International Airport; Saudi Arabia: Jeddah (JED)  King Abdulaziz International Airport; Medina: Prince Mohammad bin Abdulaziz International Airport  Seasonal charter; Riyadh: King Khalid International Airport  Seasonal charter; Sweden: Gothenburg (GOT)  Gteborg Landvetter Airport; Malm: Malm Airport  Terminated; Damascus: Damascus International Airport  Suspended; Tunisia: Tunis (TUN)  TunisCarthage International Airport; Batman: Batman Airport  Terminated; United Arab Emirates: Abu Dhabi (AUH)  Zayed International Airport; Manchester: Manchester Airport  Terminated,,SkyMiles,,,"June 1945 ( 1945-06 ) ; Baghdad , Iraq; 28 January 1946 ( 1946-01-28 )",Basra International Airport ; Erbil International Airport; Baghdad International Airport; Al Najaf International Airport ; Sulaymaniyah International Airport,,,,,https://en.wikipedia.org/wiki/Iraqi_Airways
Irish Air Corps,-,IRL,"Casement Aerodrome , Baldonnel",,0,IRISH,,Air Corps  Defence Forces,,,,,28,,,,,,,1924 ( 1924 ),,,,,,https://en.wikipedia.org/wiki/Irish_Air_Corps
Island Air Express,I4,EXP,,,3,,,,,,,,0,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Klawock_Airport
Isles of Scilly Skybus,-,IOS,"Penzance , United Kingdom",,0,SCILLONIA,,www.skybus.co.uk,Jonathan Hinkles (MD),,,,8,,"Cardiff Airport  Terminated; Exeter Airport  Seasonal; Land's End Airport  Hub; London Gatwick Airport  Terminated; Newquay Airport  Hub; Plymouth City Airport  Airport Closed; Southampton Airport  Terminated; St Mary's Airport, Isles of Scilly  Focus city; Guernsey (GCI)  Guernsey Airport; Alderney Airport  Focus city; Southampton (SOU)  Southampton Airport",,,,,Mar 84,,,,,,https://en.wikipedia.org/wiki/Isles_of_Scilly_Skybus
