Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Sino Jet,B-3282,Embraer 135/145 (135BJ),1228,Update,Parked since 10/2021
Sky Airline,CC-AZU,Airbus A320 (320-251N),10055,New,Delivery 19/11/2021
Sky Airline,CC-AZV,Airbus A320 (320-251N),10111,New,Delivery 27/10/2021
Sky Airline,CC-AZO,Airbus A320 (320-251N),9317,Update,Back in service 10/2021
Sky Prime Aviation,HZ-SKY4,Airbus A319 (319-115ACJ),6727,Update,Parked since 08/2021
SkyWest USA,N614SK,Canadair RJ (CRJ-700),10051,Update,Back in service 11/2021
SkyWest USA,N706SK,Canadair RJ (CRJ-700),10149,Update,Back in service 10/2021
SkyWest USA,N710SK,Canadair RJ (CRJ-701ER),10170,Update,Parked since 10/2021
SkyWest USA,N716SK,Canadair RJ (CRJ-700),10180,Update,Parked since 09/2021
SkyWest USA,N772SK,Canadair RJ (CRJ-702),10235,Update,Back in service 11/2021
SkyWest USA,N773SK,Canadair RJ (CRJ-701ER),10236,Update,Parked since 10/2021
SkyWest USA,N778SK,Canadair RJ (CRJ-702),10242,Update,Back in service 11/2021
SkyWest USA,N796SK,Canadair RJ (CRJ-702ER),10300,Update,Parked since 10/2021
SkyWest USA,N554CA,Canadair RJ (CRJ-900),15168,Update,Back in service 10/2021
SkyWest USA,N825SK,Canadair RJ (CRJ-900LR),15212,Update,Back in service 11/2021
SkyWest USA,N856AS,Canadair RJ (CRJ-200ER),7404,Update,Back in service 11/2021
SkyWest USA,N877AS,Canadair RJ (CRJ-200ER),7579,Update,Parked since 09/2021
SkyWest USA,N923SW,Canadair RJ (CRJ-200ER),7664,Update,Parked since 09/2021
SkyWest USA,N479CA,Canadair RJ (CRJ-200ER),7675,Update,Parked since 10/2021
SkyWest USA,N930SW,Canadair RJ (CRJ-200ER),7713,Update,Parked since 09/2021
SkyWest USA,N207PS,Canadair RJ (CRJ-200ER),7873,Update,Parked since 09/2021
SkyWest USA,N262PS,Canadair RJ (CRJ-200ER),7962,Update,Back in service 11/2021
SkyWest USA,N936EV,Canadair RJ (CRJ-200),8038,Update,Parked since 09/2021
SkyWest USA,N509SY,Embraer 170/175 (175LR),890,New,Delivery 23/10/2021
SkyWest USA,N510SY,Embraer 170/175 (175LR),891,New,Delivery 22/10/2021
SkyWest USA,N511SY,Embraer 170/175 (175STD),892,New,Delivery 13/11/2021
Smart Jet,P4-SAM,Embraer 135/145 (135BJ),1161,Update,Parked since 08/2021
SmartLynx,YL-LCT,Airbus A320 (320-214),2233,New,Delivery 31/10/2021  Ex TUI Airlines Nederland YL-LCT
SmartLynx,YL-LDA,Airbus A321 (321-211),2903,Update,Stored 10/2021
Smartlynx Airlines Malta,9H-SLK,Airbus A320 (320-214),1725,Update,Parked since 10/2021
Smartlynx Airlines Malta,9H-SLC,Airbus A321 (321-211),4461,Update,Parked since 09/2021
SmartLynx Estonia,ES-SAW,Airbus A320 (320-232),1663,New,Delivery 31/10/2021  Ex TUI Airlines Belgium ES-SAW
SmartLynx Estonia,ES-SAM,Airbus A320 (320-232),1896,New,Delivery 31/10/2021  Ex TUI Airlines Nederland ES-SAM
SmartWings,OK-TVP,Boeing 737 NG / Max (737-8K5),32907 (1117),Update,Stored 11/2021
SmartWings,OK-TVM,Boeing 737 NG / Max (737-8FN),37077 (3163),Delete,To Israir as OK-TVM 04/11/2021
SmartWings,OK-TSD,Boeing 737 NG / Max (737-8Q8),41795 (4895),Delete,To Israir as OK-TSD 10/11/2021
Solitaire Air,JY-SOB,Boeing 767 (767-233),22526 (92),New,Delivery 19/11/2021
South African Gvmt,ZS-RSA,Boeing 737 NG / Max (737-7EDBBJ)32627 (826),Update,Parked since 09/2021,
Southern Air,N311GT,Boeing 737 (737-4K5SF),26316 (2711),Update,Parked since 10/2021
Southwest Airlines,N774SW,Boeing 737 NG / Max (737-7H4),27882 (609),Update,Back in service 11/2021
Southwest Airlines,N793SA,Boeing 737 NG / Max (737-7H4),27888 (744),Update,Back in service 11/2021
Southwest Airlines,N783SW,Boeing 737 NG / Max (737-7H4),29809 (675),Update,Back in service 11/2021
Southwest Airlines,N784SW,Boeing 737 NG / Max (737-7H4),29810 (677),Update,Back in service 11/2021
Southwest Airlines,N414WN,Boeing 737 NG / Max (737-7H4),29820 (967),Update,Back in service 10/2021
Southwest Airlines,N7833A,Boeing 737 NG / Max (737-79P),30036 (1336),Update,Parked since 10/2021
Southwest Airlines,N7814B,Boeing 737 NG / Max (737-7K9),30042 (931),Update,Back in service 11/2021
Southwest Airlines,N421LV,Boeing 737 NG / Max (737-7H4),32452 (1040),Update,Parked since 10/2021
Southwest Airlines,N263WN,Boeing 737 NG / Max (737-7H4),32520 (2153),Update,Back in service 10/2021
Southwest Airlines,N7831B,Boeing 737 NG / Max (737-7CT),32752 (1339),Update,Back in service 10/2021
Southwest Airlines,N7837A,Boeing 737 NG / Max (737-752),33785 (1398),Update,Parked since 10/2021
SpiceJet,VT-SYI,Boeing 737 NG / Max (737-8AS),33555 (1426),Update,Parked since 09/2021
SpiceJet,VT-SYJ,Boeing 737 NG / Max (737-8AS),33556 (1428),Update,Back in service 11/2021
SpiceJet,VT-SLF,Boeing 737 NG / Max (737-8AS),33593 (1914),Update,Parked since 09/2021
SpiceJet,VT-SLL,Boeing 737 NG / Max (737-8EH),34274 (2468),Update,Returned to lessor 10/2021
SpiceJet,VT-SXD,Boeing 737 NG / Max (737-85R),34801 (2125),Update,Back in service 11/2021
SpiceJet,VT-SLE,Boeing 737 NG / Max (737-86N),35224 (2617),Update,Back in service 10/2021
SpiceJet,VT-SGH,Boeing 737 NG / Max (737-8GJ),36369 (3363),Update,Returned to lessor 10/2021
SpiceJet,VT-SGQ,Boeing 737 NG / Max (737-8GJ),37365 (3539),Update,Parked since 09/2021
SpiceJet,VT-MXH,Boeing 737 NG / Max (737-8MAX) 60646 (7301),Update,Back in service 11/2021,
Spring Airlines,B-326R,Airbus A320 (320-251N),10590,New,Delivery 02/11/2021
Spring Airlines,B-6840,Airbus A320 (320-214),4760,Update,Parked since 09/2021
Spring Airlines,B-8580,Airbus A320 (320-214),7582,Update,Parked since 09/2021
Spring Airlines,B-326Q,Airbus A321 (321-253NX),10406,New,Delivery 27/10/2021
SR Jet,B-3367,Canadair RJ (CRJ-200ER),7717,Update,Parked since 09/2021
Srilankan Airlines,4R-ABL,Airbus A320 (320-232),2345,Update,Back in service 11/2021
Star East Airlines,YR-SEA,Airbus A320 (320-231),357,Update,Parked since 09/2021
Stewart Haas Racing,N141SH,Canadair RJ (CRJ-200LR),7206,Update,Parked since 10/2021
Su Airlines,C5-SUA,Airbus A320 (320-211),210,New,Delivery 06/11/2021  Ex Air Canada C-GQCA
Sun Express,TC-SBJ,Boeing 737 NG / Max (737-8AS),29916 (210),Delete,To iAero Airways as N916BR 09/10/2021
Sunday Airlines,UP-B5703,Boeing 757 (757-21B),25259 (392),Update,Parked since 10/2021
Sunday Airlines,UP-B5705,Boeing 757 (757-204),27237 (602),Update,Parked since 10/2021
Sunkar Air,UP-B3717,Boeing 737 (737-322),24664 (1877),Update,Parked since 10/2021
Sunstate Airlines,VH-QOT,Dash 8 (DHC-8 402),4269,Update,Back in service 11/2021
Sunwest Aviation,C-GHCS,Beech 1900D (1900D),UE353,Update,Back in service 11/2021
Sunwing Airlines,C-FJVE,Boeing 737 NG / Max (737-8DC),34596 (1875),Update,Back in service 10/2021
Sunwing Airlines,C-FYJO,Boeing 737 NG / Max (737-8K5),37255 (4384),New,Delivery 14/11/2021  Ex TUI Airways G-TAWO
Sunwing Airlines,C-FYDY,Boeing 737 NG / Max (737-8K5),37261 (3844),New,Delivery 10/11/2021  Ex TUI Airways G-FDZY
Sunwing Airlines,C-FWGH,Boeing 737 NG / Max (737-86J),37752 (3835),Update,Back in service 10/2021
Sunwing Airlines,C-FYUW,Boeing 737 NG / Max (737-8K5),41663 (5369),New,Delivery 01/11/2021  Ex TUI Airways G-TAWW
Sunwing Airlines,C-FMXA,Boeing 737 NG / Max (737-8MAX) 43297 (6938),Update,Back in service 10/2021,
Sunwing Airlines,C-FYXC,Boeing 737 NG / Max (737-8MAX) 44298 (7356),Update,Back in service 10/2021,
Sunwing Airlines,C-FAXD,Boeing 737 NG / Max (737-8MAX) 44299 (7413),Update,Back in service 11/2021,
Suparna Airlines,B-1340,Boeing 747 (747-4HAERF),35235 (1389),Update,Back in service 11/2021
Super Air Jet,PK-SAA,Airbus A320 (320-232),2334,New,Delivery 02/11/2021  Ex Indigo VT-IDN
Super Air Jet,PK-SAK,Airbus A320 (320-216),3679,New,Delivery 28/10/2021  Ex Thai AirAsia HS-ABH
Super Air Jet,PK-SAK,Airbus A320 (320-232),4506,New,Delivery 30/09/2021  Ex Indigo VT-IGW
Super Air Jet,PK-SAA,Airbus A320 (320-232),4614,New,Delivery 02/11/2021  Ex Indigo VT-IEC
Super Air Jet,PK-SAW,Airbus A320 (320-232),5900,Update,Back in service 11/2021
Surinam Airways,EC-NOZ,Airbus A320 (320-232),4113,New,Delivery 12/11/2021  Ex Aura Airlines EC-NOZ
Swiftair,EC-IVP,ATR 42/72 (42-300),231,Update,Back in service 11/2021
Swiftair,EC-IMX,Embraer 120 Brasilia (120ERF),158,Update,Parked since 09/2021
Swoop,C-GYSD,Boeing 737 NG / Max (737-8CT),40837 (5785),New,Delivery 15/11/2021  Ex WestJet Airlines C-GYSD
Syphax Airlines,TS-ISA,Canadair RJ (CRJ-900ER),15091,Delete,To Tunisair as TS-ISA 09/03/2021
TAP Air Portugal,CS-TON,Airbus A330 (330-202),904,Update,Parked since 09/2021
TAROM,YR-ATH,ATR 42/72 (72-212A),861,Update,Parked since 09/2021
TAROM,YR-BGH,Boeing 737 NG / Max (737-78J),28438 (1394),Update,Back in service 11/2021
Terra Avia,ER-00021,Airbus A320 (320-232),1773,Delete,To Aero Nomad as EX-32003 15/10/2021
Texel Air,A9C-TXL,Boeing 737 (737-3Q8SF),28200 (2854),Update,Back in service 11/2021
Thai AirAsia,HS-ABA,Airbus A320 (320-216),3277,Update,Back in service 11/2021
Thai AirAsia,HS-ABH,Airbus A320 (320-216),3679,Delete,To Super Air Jet as PK-SAK 28/10/2021
Thai AirAsia,HS-ABN,Airbus A320 (320-216),4302,Update,Back in service 10/2021
Thai AirAsia,HS-ABQ,Airbus A320 (320-216),4386,Update,Back in service 11/2021
Thai AirAsia,HS-ABS,Airbus A320 (320-216),4426,Update,Back in service 10/2021
Thai AirAsia,HS-ABU,Airbus A320 (320-216),4807,Update,Back in service 10/2021
Thai AirAsia,HS-ABX,Airbus A320 (320-214),4917,Update,Back in service 10/2021
Thai AirAsia,HS-ABV,Airbus A320 (320-216),4979,Update,Parked since 10/2021
Thai AirAsia,HS-BBA,Airbus A320 (320-214),5344,Update,Back in service 10/2021
Thai AirAsia,HS-BBE,Airbus A320 (320-216),5703,Update,Parked since 09/2021
Thai AirAsia,HS-BBJ,Airbus A320 (320-216),5866,Update,Back in service 11/2021
Thai AirAsia,HS-BBV,Airbus A320 (320-216),7057,Update,Back in service 10/2021
Thai AirAsia,HS-BBW,Airbus A320 (320-216),7164,Update,Back in service 10/2021
Thai AirAsia,HS-EAB,Airbus A321 (321-251NX),9284,Update,Back in service 10/2021
Thai AirAsia X,HS-XTC,Airbus A330 (330-343X),692,Update,Back in service 11/2021
Thai Airways,HS-THG,Airbus A350 (350-941),130,Update,Back in service 11/2021
Thai Airways,HS-THH,Airbus A350 (350-941),142,Update,Parked since 09/2021
Thai Airways,HS-THB,Airbus A350 (350-941),44,Update,Parked since 09/2021
Thai Airways,HS-THD,Airbus A350 (350-941),95,Update,Back in service 11/2021
Thai Airways,HS-TJS,Boeing 777 (777-2D7ER),34587 (595),Update,Back in service 11/2021
Thai Airways,HS-TKW,Boeing 777 (777-3D7ER),42112 (1228),Update,Back in service 10/2021
Thai Airways,HS-TQA,Boeing 787 (787-8),35315 (190),Update,Back in service 10/2021
Thai Airways,HS-TQD,Boeing 787 (787-8),35320 (244),Update,Parked since 10/2021
Thai Smile,HS-TXF,Airbus A320 (320-232),5553,Update,Back in service 11/2021
