IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
731,B731,Boeing,737-100,Boeing 737-100,737-100,,2J,Passenger,,In Service
732,B732,Boeing,737-200,Boeing 737-200,737-200,,2J,Passenger,M,In Service
733,B733,Boeing,737-300,Boeing 737-300,737-300,,2J,Passenger,M,In Service
734,B734,Boeing,737-400,Boeing 737-400,737-400,,2J,Passenger,M,In Service
735,B735,Boeing,737-500,Boeing 737-500,737-500,,2J,Passenger,M,In Service
736,B736,Boeing,737-600,Boeing 737-600,737-600,,2J,Passenger,M,In Service
737,,Boeing,737,Boeing 737,737,,,Passenger,M,In Service
738,B738,Boeing,737-800,Boeing 737-800,737-800,,2J,Passenger,M,In Service
739,B739,Boeing,737-900,Boeing 737-900,737-900,,2J,Passenger,M,In Service
73A,,Boeing,737-200 Advanced,Boeing 737-200 Advanced,737-200 Advanced,,,Passenger,,In Service
73C,B733,Boeing,737-300 (winglets),Boeing 737-300 (winglets),737-300 (winglets),,2J,Passenger,,In Service
73E,B735,Boeing,737-500 (winglets),Boeing 737-500 (winglets),737-500 (winglets),,2J,Passenger,,In Service
73F,,Boeing,737 Freighter,Boeing 737 Freighter,737 Freighter,,,Passenger,,In Service
73G,B737,Boeing,737-700,Boeing 737-700,737-700,,2J,Passenger,M,In Service
73H,B738,Boeing,737-800 (winglets),Boeing 737-800 (winglets),737-800 (winglets),,2J,Passenger,,In Service
73J,B739,Boeing,737-900 (winglets),Boeing 737-900 (winglets),737-900 (winglets),,2J,Passenger,,In Service
73L,B732,Boeing,737-200 Mixed Configuration,Boeing 737-200 Mixed Configuration,737-200 Mixed Configuration,,2J,Passenger,,In Service
73M,,Boeing,737-200 Combi,Boeing 737-200 Combi,737-200 Combi,,,Passenger,,In Service
73N,B733,Boeing,737-300 Mixed Configuration,Boeing 737-300 Mixed Configuration,737-300 Mixed Configuration,,2J,Passenger,,In Service
73P,B734,Boeing,737-400 Freighter,Boeing 737-400 Freighter,737-400 Freighter,,2J,Passenger,,In Service
73Q,B734,Boeing,737-400 Mixed Configuration,Boeing 737-400 Mixed Configuration,737-400 Mixed Configuration,,2J,Passenger,,In Service
73R,B737,Boeing,737-700 Mixed Configuration,Boeing 737-700 Mixed Configuration,737-700 Mixed Configuration,,2J,Passenger,,In Service
73S,B737,Boeing,737-200 Advanced,Boeing 737-200 Advanced,737-200 Advanced,,2J,Passenger,,In Service
73W,B737,Boeing,737-700 (winglets),Boeing 737-700 (winglets),737-700 (winglets),,2J,Passenger,,In Service
73X,B732,Boeing,737-200 Freighter,Boeing 737-200 Freighter,737-200 Freighter,,2J,Passenger,,In Service
73Y,B733,Boeing,737-300 Freighter,Boeing 737-300 Freighter,737-300 Freighter,,2J,Passenger,,In Service
73Z,,Boeing,737-400 Freighter,Boeing 737-400 Freighter,737-400 Freighter,,,Passenger,,In Service
741,B741,Boeing,747-100,Boeing 747-100,747-100,,4J,Passenger,H,In Service
742,B742,Boeing,747-200,Boeing 747-200,747-200,,4J,Passenger,H,In Service
743,B743,Boeing,747-300,Boeing 747-300,747-300,,4J,Passenger,H,In Service
744,B744,Boeing,747-400,Boeing 747-400,747-400,,4J,Passenger,H,In Service
747,,Boeing,747,Boeing 747,747,,,Passenger,H,In Service
748,B748,Boeing,747-8 pax,Boeing 747-8 pax,747-8 pax,,4J,Passenger,H,In Service
74B,B744,Boeing,747-400 Swingtail Freighter,Boeing 747-400 Swingtail Freighter,747-400 Swingtail Freighter,,4J,Passenger,,In Service
74C,B742,Boeing,747-200 Combi,Boeing 747-200 Combi,747-200 Combi,,4J,Passenger,,In Service
74D,B743,Boeing,747-300 Combi,Boeing 747-300 Combi,747-300 Combi,,4J,Passenger,,In Service
74E,B744,Boeing,747-400 Combi,Boeing 747-400 Combi,747-400 Combi,,4J,Passenger,,In Service
74F,,Boeing,747 Freighter,Boeing 747 Freighter,747 Freighter,,,Passenger,,In Service
74H,B748,Boeing,747-8i,Boeing 747-8i,747-8i,,4J,Passenger,,In Service
74J,B74D,Boeing,747-400 (Domestic),Boeing 747-400 (Domestic),747-400 (Domestic),,4J,Passenger,,In Service
